trial,objective,episodes,env_steps,wall_s,params
73,27262.3,1,4500,59.7,"{""werr"": [0.5693390076338009, 2601.586886662119, 169.46176550001684, 74.6696215958243, 0.4906834351497384, 1.0040542629991125, 1934.7887719228204, 1122.7924799787274, 301.53759193629145, 138.80645032087511, 0.508500833340463, 255.24721322898023], ""wu"": [0.07548428167596909]}"
74,2052.32,1,4500,60.1,"{""werr"": [37.39354189528589, 1252.6078135142193, 0.16440744786968556, 37.50343153499595, 2.3621963481488266, 0.3766292142238272, 3.100065771775813, 1819.6061319401608, 1342.6782585661285, 285.10722485357337, 0.25342671416914603, 148.91792175560957], ""wu"": [0.03161669764124027]}"
75,33817.4,1,4500,60.1,"{""werr"": [4035.4958084646223, 3855.4795455805643, 997.068917948575, 9.742202754790405, 1.0086915205994467, 2.4839423845676265, 59.670108700146216, 546.729498613244, 374.101118239849, 868.9979530089942, 0.16723357130958638, 945.5246215127795], ""wu"": [0.05839396346781048]}"
76,565.859,1,4500,59.7,"{""werr"": [7.464083866833527, 1924.6746680166293, 503.3950704145783, 1.6724861938251925, 5.384762749273003, 0.18950008068571625, 15.826936565475371, 840.2378524847728, 853.1873091141638, 446.38691180685004, 0.31473599255246365, 366.2713843215649], ""wu"": [0.03861482663677357]}"
77,2891.07,1,4500,59.8,"{""werr"": [122.72926692696531, 2734.2060608978095, 96.01560195399405, 118.41053386391883, 0.2774851525750311, 0.8270899917363416, 1.2992599296744358, 2695.9762294599814, 183.55907545482708, 768.3311898191463, 0.7020656764315312, 543.2271087218815], ""wu"": [1.7605114759037264]}"
78,2415.04,1,4500,61.3,"{""werr"": [2118.2246061833034, 1468.2137622143941, 233.88801934036886, 286.18389505667267, 1.569936736999366, 0.5678007346447176, 8.975811236872664, 343.88930913778296, 550.3555392086561, 98.84584117233615, 0.4456110183140856, 1613.057129655203], ""wu"": [0.021501333710626822]}"
79,184.812,1,4500,60.0,"{""werr"": [718.6008189961501, 3912.274001357214, 835.5199427128185, 19.921932234661632, 0.5854175793415524, 0.13130824309829103, 5.44182869215754, 144.36743528502578, 1280.1361843581942, 1492.0210136897729, 0.36979928284924074, 3728.3202160758915], ""wu"": [0.04560258319046815]}"
80,2020.07,1,4500,61.0,"{""werr"": [1330.0341315691765, 250.14302284013175, 1279.3124910649444, 48.451491996405466, 0.15665795140975028, 3.0778196362325505, 34.50465244095742, 1325.6870950266655, 3381.5169385924637, 203.93172990835637, 0.1307689161574034, 2167.101159613263], ""wu"": [0.19508933944198537]}"
81,35457.6,1,4500,59.8,"{""werr"": [3.4579353144973908, 422.3761135388667, 1638.5343649930774, 79.06804089936944, 3.070969188425844, 1.3715142443478479, 118.27140311792397, 4145.871639519902, 2243.2304621859707, 153.26624784217086, 0.2066018716939491, 79.13017270275205], ""wu"": [0.017074216124946685]}"
82,9408.83,1,4500,61.3,"{""werr"": [3561.0761594802902, 881.5806829563523, 3441.7980307101698, 171.37644950723552, 0.15184585238308884, 4.881918070389997, 10.777732683360615, 2060.7451068447567, 1891.8267968303471, 1146.4628343430718, 0.2552903555841828, 667.2002276965402], ""wu"": [0.041334876545104995]}"
